subject,body,sender,label
Meeting Tomorrow,Hi just a reminder about our meeting tomorrow at 2 PM. See you then!,colleague@company.com,legitimate
URGENT: Verify Your Account Now!!!,Dear customer your account has been suspended due to unusual activity. Click here to verify your identity immediately or your account will be permanently closed.,security@tempmail123.com,phishing
Weekly Report,Please find attached the weekly report for review.,reports@company.com,legitimate
Congratulations! You won $1000000,Dear winner you have been selected to receive $1000000. Click below to claim your prize now! Limited time offer. Act now!,winner@lottery-prize.xyz,phishing
Invoice for Services,Thank you for your business. Please find the invoice attached.,billing@vendor.com,legitimate
Your payment has failed,Dear user your recent payment has failed. Update your billing information immediately to avoid service interruption.,no-reply@service123.com,phishing
Project Update,The project is on track. Next milestone is scheduled for next week.,pm@company.com,legitimate
Confirm your identity - URGENT,DEAR CUSTOMER we have detected suspicious activity. Verify your account now or it will be suspended. Your social security and credit card need confirmation.,security999@guerrillamail.com,phishing
Lunch today?,Hey want to grab lunch today around noon?,friend@email.com,legitimate
ACTION REQUIRED: Suspended Account,Your account will be closed unless you verify immediately. Click here now.,alert@tempmail.com,phishing
Newsletter - Monthly Updates,Check out our latest articles and updates from this month.,newsletter@company.com,legitimate
You have inherited $5 million,Dear sir/madam you have been named as beneficiary of a $5 million inheritance. Contact us immediately to claim your funds.,lawyer@10minutemail.com,phishing
Conference Registration Confirmed,Your registration for the annual conference has been confirmed.,events@conference.org,legitimate
Your Netflix subscription has expired,Your Netflix account has been suspended. Update your credit card information now to avoid losing access.,billing@netflix-support.xyz,phishing
Order Shipped,Your order has been shipped and will arrive in 3-5 business days.,shipping@retailer.com,legitimate
IRS TAX REFUND - CLAIM NOW,You are eligible for a tax refund of $3500. Click here to claim now before it expires.,refunds@irs-gov.ml,phishing
Team Building Event,Join us for a team building event next Friday at the park.,hr@company.com,legitimate
Security Alert: Unusual Sign-In Activity,We detected unusual activity on your account. Verify your identity immediately or your account will be locked permanently.,security@email-service.gq,phishing
Thank You,Thank you for your recent purchase. We appreciate your business.,support@store.com,legitimate
Free iPhone 15 - Limited Offer!,Congratulations! You have been selected to receive a FREE iPhone 15. Click here to claim before offer expires.,promo@apple-offers.tk,phishing

